timestamp_utc,target,peak,correction_rows_present,has_mem_int,has_mem,included_by_literal_readme_rule,included_by_canonical_fallback_rule,reason
2024-05-30T04:13:20+00:00,X2,b,mem|raw,False,True,True,True,included by literal readme May 2024 X2 mem fallback
2024-05-30T07:58:29+00:00,X2,c,mem|raw,False,True,True,True,included by literal readme May 2024 X2 mem fallback
2024-05-31T01:28:57+00:00,X2,c,mem|raw,False,True,True,True,included by literal readme May 2024 X2 mem fallback
2024-05-31T06:06:02+00:00,X2,b,mem|raw,False,True,True,True,included by literal readme May 2024 X2 mem fallback
2024-06-24T21:05:24+00:00,X2,b,mem|mem int|raw,True,True,True,True,included by literal readme rule because mem int Lorentzian row exists
2024-06-25T20:25:39+00:00,X2,b,mem|mem int|raw,True,True,True,True,included by literal readme rule because mem int Lorentzian row exists
2024-07-01T17:51:35+00:00,X2,c,mem|mem int|raw,True,True,True,True,included by literal readme rule because mem int Lorentzian row exists
2024-07-05T19:58:34+00:00,X2,b,mem|mem int|raw,True,True,True,True,included by literal readme rule because mem int Lorentzian row exists
2024-07-06T00:05:31+00:00,X2,c,mem|mem int|raw,True,True,True,True,included by literal readme rule because mem int Lorentzian row exists
2024-09-06T21:43:44+00:00,X2,c,mem|mem int|raw,True,True,True,True,included by literal readme rule because mem int Lorentzian row exists
2024-09-25T22:39:47+00:00,X2,c,mem|raw,False,True,False,True,included only by file-backed mem fallback to reconcile 73 Lorentzian scan keys
2024-10-17T00:20:42+00:00,X2,c,mem|mem int|raw,True,True,True,True,included by literal readme rule because mem int Lorentzian row exists
2024-10-22T17:54:14+00:00,X2,b,mem|mem int|raw,True,True,True,True,included by literal readme rule because mem int Lorentzian row exists
2024-10-22T22:16:43+00:00,X2,c,mem|mem int|raw,True,True,True,True,included by literal readme rule because mem int Lorentzian row exists
2024-11-01T20:30:51+00:00,X2,b,mem|mem int|raw,True,True,True,True,included by literal readme rule because mem int Lorentzian row exists
2024-11-01T22:26:27+00:00,X2,c,mem|mem int|raw,True,True,True,True,included by literal readme rule because mem int Lorentzian row exists
2024-11-05T23:23:14+00:00,X2,c,mem|mem int|raw,True,True,True,True,included by literal readme rule because mem int Lorentzian row exists
2024-11-12T00:21:56+00:00,X2,b,mem|mem int|raw,True,True,True,True,included by literal readme rule because mem int Lorentzian row exists
2024-11-19T22:30:02+00:00,X2,b,mem|mem int|raw,True,True,True,True,included by literal readme rule because mem int Lorentzian row exists
2024-11-20T22:20:34+00:00,X2,b,mem|mem int|raw,True,True,True,True,included by literal readme rule because mem int Lorentzian row exists
2024-11-21T22:53:32+00:00,X2,b,mem|mem int|raw,True,True,True,True,included by literal readme rule because mem int Lorentzian row exists
2024-11-26T00:18:01+00:00,C13,b,mem|mem int|raw,True,True,True,True,included by literal readme rule because mem int Lorentzian row exists
2024-11-26T22:07:04+00:00,C13,b,mem|mem int|raw,True,True,True,True,included by literal readme rule because mem int Lorentzian row exists
2024-11-27T00:39:18+00:00,C13,b,mem|mem int|raw,True,True,True,True,included by literal readme rule because mem int Lorentzian row exists
2024-12-02T22:52:41+00:00,C13,c,mem|mem int|raw,True,True,True,True,included by literal readme rule because mem int Lorentzian row exists
2024-12-03T22:19:31+00:00,C13,c,mem|mem int|raw,True,True,True,True,included by literal readme rule because mem int Lorentzian row exists
2024-12-06T23:05:04+00:00,C13,c,mem|mem int|raw,True,True,True,True,included by literal readme rule because mem int Lorentzian row exists
2025-02-12T18:47:44+00:00,C10,c,mem|mem int|raw,True,True,True,True,included by literal readme rule because mem int Lorentzian row exists
2025-02-12T23:10:40+00:00,C10,b,mem|mem int|raw,True,True,True,True,included by literal readme rule because mem int Lorentzian row exists
2025-02-14T19:21:14+00:00,C10,b,mem|mem int|raw,True,True,True,True,included by literal readme rule because mem int Lorentzian row exists
2025-02-19T20:04:36+00:00,C10,b,mem|mem int|raw,True,True,True,True,included by literal readme rule because mem int Lorentzian row exists
2025-02-25T06:32:15+00:00,C10,b,mem|mem int|raw,True,True,True,True,included by literal readme rule because mem int Lorentzian row exists
2025-02-26T23:05:58+00:00,C10,b,mem|mem int|raw,True,True,True,True,included by literal readme rule because mem int Lorentzian row exists
2025-02-28T22:29:31+00:00,C10,b,mem|mem int|raw,True,True,True,True,included by literal readme rule because mem int Lorentzian row exists
2025-03-03T21:55:12+00:00,C10,b,mem|mem int|raw,True,True,True,True,included by literal readme rule because mem int Lorentzian row exists
2025-03-04T23:29:17+00:00,C10,b,mem|mem int|raw,True,True,True,True,included by literal readme rule because mem int Lorentzian row exists
2025-03-12T02:14:16+00:00,C10,c,mem|mem int|raw,True,True,True,True,included by literal readme rule because mem int Lorentzian row exists
2025-03-12T21:45:56+00:00,C10,c,mem|mem int|raw,True,True,True,True,included by literal readme rule because mem int Lorentzian row exists
2025-03-17T23:03:52+00:00,C10,b,mem|mem int|raw,True,True,True,True,included by literal readme rule because mem int Lorentzian row exists
2025-03-21T20:37:01+00:00,C10,b,mem|mem int|raw,True,True,True,True,included by literal readme rule because mem int Lorentzian row exists
2025-03-25T23:44:55+00:00,C10,b,mem|mem int|raw,True,True,True,True,included by literal readme rule because mem int Lorentzian row exists
2025-04-03T18:21:47+00:00,C10,b,mem|mem int|raw,True,True,True,True,included by literal readme rule because mem int Lorentzian row exists
2025-04-14T19:23:32+00:00,C10,b,mem|mem int|raw,True,True,True,True,included by literal readme rule because mem int Lorentzian row exists
2025-04-18T21:58:47+00:00,C10,b,mem|mem int|raw,True,True,True,True,included by literal readme rule because mem int Lorentzian row exists
2025-04-21T22:13:42+00:00,C10,b,mem|mem int|raw,True,True,True,True,included by literal readme rule because mem int Lorentzian row exists
2025-05-21T00:56:44+00:00,C13,b,mem|mem int|raw,True,True,True,True,included by literal readme rule because mem int Lorentzian row exists
2025-05-21T22:35:20+00:00,C13,b,mem|mem int|raw,True,True,True,True,included by literal readme rule because mem int Lorentzian row exists
2025-05-23T20:45:20+00:00,X2,b,mem|mem int|raw,True,True,True,True,included by literal readme rule because mem int Lorentzian row exists
2025-05-27T20:54:22+00:00,X2,b,mem|mem int|raw,True,True,True,True,included by literal readme rule because mem int Lorentzian row exists
2025-05-28T20:51:43+00:00,X2,b,mem|mem int|raw,True,True,True,True,included by literal readme rule because mem int Lorentzian row exists
2025-05-28T23:11:16+00:00,X2,c,mem|mem int|raw,True,True,True,True,included by literal readme rule because mem int Lorentzian row exists
2025-06-03T20:47:46+00:00,X2,b,mem|mem int|raw,True,True,True,True,included by literal readme rule because mem int Lorentzian row exists
2025-06-04T00:45:04+00:00,X2,b,mem|mem int|raw,True,True,True,True,included by literal readme rule because mem int Lorentzian row exists
2025-06-04T19:59:15+00:00,X2,b,mem|mem int|raw,True,True,True,True,included by literal readme rule because mem int Lorentzian row exists
2025-06-04T23:29:25+00:00,X2,b,mem|mem int|raw,True,True,True,True,included by literal readme rule because mem int Lorentzian row exists
2025-06-05T21:23:48+00:00,X2,b,mem|mem int|raw,True,True,True,True,included by literal readme rule because mem int Lorentzian row exists
2025-06-06T01:05:40+00:00,X2,b,mem|mem int|raw,True,True,True,True,included by literal readme rule because mem int Lorentzian row exists
2025-06-06T20:06:35+00:00,X2,b,mem|mem int|raw,True,True,True,True,included by literal readme rule because mem int Lorentzian row exists
2025-06-06T23:10:02+00:00,X2,b,mem|mem int|raw,True,True,True,True,included by literal readme rule because mem int Lorentzian row exists
2025-06-09T22:08:01+00:00,X2,b,mem|mem int|raw,True,True,True,True,included by literal readme rule because mem int Lorentzian row exists
2025-06-10T19:34:58+00:00,X2,b,mem|mem int|raw,True,True,True,True,included by literal readme rule because mem int Lorentzian row exists
2025-06-10T22:57:58+00:00,X2,b,mem|mem int|raw,True,True,True,True,included by literal readme rule because mem int Lorentzian row exists
2025-06-11T22:56:45+00:00,C13,b,mem|mem int|raw,True,True,True,True,included by literal readme rule because mem int Lorentzian row exists
2025-06-12T20:13:43+00:00,C13,b,mem|mem int|raw,True,True,True,True,included by literal readme rule because mem int Lorentzian row exists
2025-06-13T00:23:58+00:00,C13,b,mem|mem int|raw,True,True,True,True,included by literal readme rule because mem int Lorentzian row exists
2025-06-27T22:38:00+00:00,X2,b,mem|mem int|raw,True,True,True,True,included by literal readme rule because mem int Lorentzian row exists
